,5:5,6:4,7:3,8:2
2022Q1,12.5,9.6,6.0,1.9
2022Q2,180.3,248.5,330.5,428.5
2022Q3,-26.3,-29.9,-33.5,-37.2
2022Q4,57.3,58.7,59.0,58.1
2023Q1,9.9,14.5,18.9,22.9
2023Q2,3.8,-1.0,-5.9,-11.0
2023Q3,-18.1,-20.6,-23.3,-26.3
2023Q4,22.0,21.4,20.3,18.6
2024Q1,-9.4,-16.3,-23.1,-29.9
2024Q2,-20.1,-22.0,-24.2,-26.7
2024Q3,19.2,18.7,17.6,16.0
2024Q4,74.3,88.8,102.3,114.4
2025Q1,74.5,93.8,113.9,134.7
2025Q2,3.3,-1.2,-5.9,-10.8
2025Q3,85.0,111.3,140.3,172.0
2025Q4,25.8,23.3,20.7,17.9
2026Q1,68.1,83.9,100.3,117.1
2026Q2,0.7,0.6,0.5,0.3
